#{"t_start": 1674161401.0203352, "env_id": null}
r,l,t,is_success
-10.0,1,3.682622,
-10.0,1,3.914621,
-10.0,1,4.151595,
-10.0,1,4.434489,
-10.0,1,4.673391,
-10.0,1,5.007774,
-10.0,1,5.295038,
-10.0,1,5.535646,
-10.0,1,5.774593,
-10.0,1,6.029945,
-10.0,1,6.274613,
-10.0,1,6.508258,
-10.0,1,6.817191,
-10.0,1,7.074403,
-10.0,1,7.338953,
-10.0,1,7.565993,
-10.0,1,7.812192,
-10.0,1,8.086843,
-10.0,1,8.331978,
-10.0,1,8.57706,
-10.0,1,8.811828,
-10.0,1,9.068192,
-10.0,1,9.319986,
-10.0,1,9.553977,
-10.0,1,9.780071,
-10.0,1,10.028881,
-10.0,1,10.279865,
-10.0,1,10.505978,
-10.0,1,10.728044,
-10.0,1,11.038125,
-10.0,1,11.299952,
-10.0,1,11.534167,
-10.0,1,11.791491,
-10.0,1,12.023442,
-10.0,1,12.243691,
